"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1760",605232,"Brandon Finnegan","3521","50.0","0.257","0.217","0.265","0.474","0.363","0.392","0.286","95","369","83.4","17.2","2175","92.2","91.34","146","791","955","-0.9","5.88","105","147","108","145","291","309","286"
"1759",446899,"Brad Ziegler","2799","62.8","0.311","0.100","0.320","0.411","0.339","0.346","0.305","137","440","86.5","-5.2","1886","84.1","83.06","125","844","898","-1.0","5.78","107","148","108","147","299","322","297"
"1758",543208,"Sam Gaviglio","3210","54.8","0.326","0.217","0.349","0.543","0.405","0.381","0.299","132","405","83.7","11.3","2057","88.3","88.78","71","690","1059","0.5","6.60","110","152","111","146","295","319","294"
"1700",519096,"Dan Otero","2776","61.2","0.274","0.143","0.300","0.417","0.303","0.297","0.276","127","463","82.2","3.4","2028","90.2","90.77","126","905","788","0.6","6.58","108","149","113","147","290","313","290"
"1685",544727,"Jeurys Familia","2866","58.8","0.249","0.072","0.303","0.321","0.286","0.280","0.228","97","390","81.7","0.2","2220","96.3","95.43","210","840","831","-0.9","5.95","109","150","109","146","292","314","297"
"1629",450729,"Doug Fister","5647","28.8","0.285","0.167","0.326","0.452","0.349","0.362","0.285","104","365","82.4","12.2","1963","89.1","89.52","79","622","994","0.4","6.51","109","148","112","145","289","321","292"
"1628",592222,"Alex Claudio","2988","54.5","0.327","0.111","0.340","0.438","0.350","0.336","0.301","144","441","85.7","-2.6","1988","86.3","85.01","113","813","800","-1.3","5.65","105","148","108","146","295","321","294"
"1612",425794,"Adam Wainwright","6083","26.5","0.327","0.199","0.365","0.526","0.379","0.361","0.297","125","382","85.3","12.4","2161","90.4","90.55","67","622","975","0.2","6.50","109","146","107","146","295","314","297"
"1579",592789,"Noah Syndergaard","5806","27.2","0.314","0.130","0.353","0.444","0.347","0.316","0.274","121","385","84.5","6.1","2151","97.9","98.13","111","738","833","0.2","6.56","110","151","108","146","289","314","295"
"1546",605452,"Joe Ross","3162","48.9","0.348","0.205","0.382","0.553","0.409","0.396","0.326","119","342","85.2","13.9","1989","92.6","92.48","70","611","923","-0.1","6.35","110","151","111","147","295","307","292"
